4	1	2016	4	1	2016
5	1	2016	5	1	2016
6	1	2016	6	1	2016
7	1	2016	7	1	2016
8	1	2016	8	1	2016
8	1	2016	8	1	2016
9	1	2016	9	1	2016
9	1	2016	9	1	2016
12	1	2016	12	1	2016
16	1	2016	16	1	2016
18	1	2016	18	1	2016
18	1	2016	18	1	2016
18	1	2016	18	1	2016
19	1	2016	19	1	2016
19	1	2016	19	1	2016
19	1	2016	19	1	2016
22	1	2016	22	1	2016
23	1	2016	23	1	2016
23	1	2016	23	1	2016
25	1	2016	25	1	2016
28	1	2016	28	1	2016
29	1	2016	29	1	2016
1	2	2016	1	2	2016
1	2	2016	1	2	2016
5	2	2016	5	2	2016
5	2	2016	5	2	2016
6	2	2016	6	2	2016
6	2	2016	6	2	2016
8	2	2016	8	2	2016
8	2	2016	8	2	2016
8	2	2016	8	2	2016
16	2	2016	16	2	2016
16	2	2016	16	2	2016
16	2	2016	16	2	2016
17	2	2016	17	2	2016
23	2	2016	23	2	2016
23	2	2016	23	2	2016
24	2	2016	24	2	2016
5	3	2016	5	3	2016
5	3	2016	5	3	2016
5	3	2016	5	3	2016
7	3	2016	7	3	2016
8	3	2016	8	3	2016
14	3	2016	14	3	2016
17	3	2016	17	3	2016
22	3	2016	22	3	2016
29	3	2016	29	3	2016
